what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009269167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009269446
error,log,,,"Designer [1.3.0.r37x201202021417.201207101659]: java.lang.NullPointerException",1342009269589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009273601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009273717
error,log,,,"Designer [1.3.0.r37x201202021417.201207101659]: java.lang.NullPointerException",1342009273737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009278853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009280065
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1342009280322
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1342009280323
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342009284050
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1342009298068
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1342009298115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009299845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009299953
error,log,,,"Designer [1.3.0.r37x201202021417.201207101659]: java.lang.NullPointerException",1342009299976
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342009311151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009313048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009315431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342009418522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009418573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009420824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009573666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009579913
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342009610995
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1342009617917
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342009673632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009675076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009677264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342009686367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009689345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009691918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009701470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009714028
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1342009722318
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1342009724808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009730195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009767242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009767255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009780931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009787790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009797480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009797493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009800582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009803853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009804803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009805053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342009806371
