what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1343767727326
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1343767727327
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343767738589
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343767740339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343767749973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343767751610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343767751820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343767752958
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343767754014
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343767762186
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343767762595
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343767763012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343767763372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343767763972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343767794131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343767797408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343767828272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343767828429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343767829650
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1343767829678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343767838660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343767839895
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1343767839925
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1343767844667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343767846035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343767849419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343767849459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343767850497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343767858054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343767859968
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343767861297
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343767861760
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343767880225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343767912638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343768080903
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1343768095498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343768149693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343768156887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343768159918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343768194135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343768194272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343768195508
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1343768195543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1343768199379
