what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338771511019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338771628056
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1338771628663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1338771628873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338771630265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338771679520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338772699682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338774986480
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1338775000561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338775014531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338775035277
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1338775051626
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1338775071684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338775114540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338775114764
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1338775130642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1338775134980
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1338775135342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1338775136256
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1338775136961
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1338775161898
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1338775164875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1338775200447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1338775209911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1338775213056
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1338775247877
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1338775248933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1338775255125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1338775256618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1338775266305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1338775274893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338775276023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338775290927
